"IDCliente","EstadoCivil","Género","Ingresos","Hijos","Educación","Ocupación","Casa","Coches","Distancia","Región","Edad","Comprador"
"11270","Casado","Masculino","130000","2","Graduate Degree","Management","Yes","3","0-1 Miles","Norte America","42","Yes"
"11275","Casado","Femenino","80000","4","Graduate Degree","Management","Yes","2","0-1 Miles","Norte America","72","Yes"
"11287","Casado","Masculino","70000","5","Partial College","Professional","No","3","5-10 Miles","Norte America","45","No"
"11292","Soltero","Masculino","150000","1","Partial College","Professional","No","3","0-1 Miles","Norte America","44","Yes"
"11303","Soltero","Femenino","90000","4","High School","Professional","No","3","1-2 Miles","Norte America","45","Yes"
"11340","Casado","Femenino","10000","1","Graduate Degree","Clerical","Yes","0","0-1 Miles","Europa","70","Yes"
"11378","Soltero","Femenino","10000","1","High School","Manual","No","1","2-5 Miles","Europa","46","Yes"
"11381","Casado","Femenino","20000","2","Partial College","Manual","Yes","1","2-5 Miles","Europa","47","Yes"
"11383","Casado","Femenino","30000","3","Graduate Degree","Clerical","Yes","0","0-1 Miles","Europa","46","No"
"11386","Casado","Femenino","30000","3","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","45","No"
"11415","Soltero","Masculino","90000","5","Partial College","Professional","No","2","10+ Miles","Europa","62","No"
"11434","Casado","Masculino","170000","5","Partial College","Professional","Yes","4","0-1 Miles","Europa","55","No"
"11451","Soltero","Masculino","70000","0","Bachelors","Professional","No","4","10+ Miles","Pacifico","31","Yes"
"11453","Soltero","Masculino","80000","0","Bachelors","Professional","No","3","10+ Miles","Pacifico","33","Yes"
"11489","Soltero","Femenino","20000","0","Partial High School","Manual","No","2","1-2 Miles","Europa","35","Yes"
"11538","Soltero","Femenino","60000","4","Graduate Degree","Skilled Manual","No","0","0-1 Miles","Norte America","47","Yes"
"11540","Soltero","Masculino","60000","4","Graduate Degree","Skilled Manual","Yes","0","1-2 Miles","Norte America","47","Yes"
"11555","Casado","Femenino","40000","1","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","80","No"
"11576","Casado","Masculino","30000","1","Bachelors","Skilled Manual","Yes","2","0-1 Miles","Europa","41","Yes"
"11585","Casado","Femenino","40000","1","Bachelors","Skilled Manual","Yes","0","0-1 Miles","Europa","41","No"
"11619","Soltero","Femenino","50000","0","Graduate Degree","Skilled Manual","Yes","0","1-2 Miles","Norte America","33","No"
"11622","Casado","Masculino","50000","0","Graduate Degree","Skilled Manual","Yes","0","0-1 Miles","Norte America","32","No"
"11641","Casado","Masculino","50000","1","Bachelors","Skilled Manual","Yes","0","0-1 Miles","Norte America","36","No"
"11644","Soltero","Masculino","40000","2","Bachelors","Skilled Manual","Yes","0","2-5 Miles","Norte America","36","No"
"11663","Casado","Masculino","70000","4","Graduate Degree","Professional","Yes","0","0-1 Miles","Norte America","36","Yes"
"11669","Soltero","Femenino","70000","2","Bachelors","Skilled Manual","Yes","1","2-5 Miles","Norte America","38","No"
"11699","Soltero","Masculino","60000","4","Bachelors","Skilled Manual","No","2","0-1 Miles","Norte America","43","No"
"11734","Casado","Masculino","60000","1","Partial College","Skilled Manual","No","1","0-1 Miles","Norte America","47","No"
"11738","Casado","Masculino","60000","4","Bachelors","Professional","Yes","0","2-5 Miles","Norte America","46","No"
"11745","Casado","Femenino","60000","1","Bachelors","Professional","Yes","1","0-1 Miles","Norte America","47","Yes"
"11783","Casado","Femenino","60000","1","Graduate Degree","Skilled Manual","Yes","0","0-1 Miles","Norte America","34","No"
"11788","Soltero","Femenino","70000","1","Graduate Degree","Professional","Yes","0","2-5 Miles","Norte America","34","No"
"11801","Casado","Masculino","60000","1","Graduate Degree","Professional","Yes","0","2-5 Miles","Norte America","36","No"
"11807","Casado","Masculino","70000","3","Graduate Degree","Professional","Yes","0","2-5 Miles","Norte America","34","No"
"11809","Casado","Masculino","60000","2","Bachelors","Skilled Manual","Yes","0","0-1 Miles","Norte America","38","Yes"
"11817","Soltero","Femenino","70000","4","Graduate Degree","Professional","Yes","0","2-5 Miles","Norte America","35","Yes"
"11823","Casado","Femenino","70000","0","Graduate Degree","Professional","Yes","0","2-5 Miles","Norte America","39","No"
"11886","Casado","Femenino","60000","3","Bachelors","Professional","Yes","1","0-1 Miles","Norte America","48","Yes"
"11890","Casado","Femenino","70000","5","Graduate Degree","Professional","Yes","1","0-1 Miles","Norte America","47","No"
"11896","Casado","Masculino","100000","1","Graduate Degree","Management","Yes","0","2-5 Miles","Pacifico","36","Yes"
"11897","Soltero","Masculino","60000","2","Bachelors","Professional","No","1","0-1 Miles","Pacifico","37","Yes"
"11935","Soltero","Femenino","30000","0","Partial College","Skilled Manual","Yes","1","5-10 Miles","Norte America","28","No"
"11941","Soltero","Masculino","60000","0","Partial College","Skilled Manual","Yes","2","5-10 Miles","Norte America","29","No"
"12029","Casado","Masculino","30000","0","Partial High School","Clerical","No","2","0-1 Miles","Norte America","28","No"
"12033","Soltero","Femenino","40000","0","High School","Skilled Manual","No","2","0-1 Miles","Norte America","27","Yes"
"12056","Casado","Masculino","120000","2","Graduate Degree","Management","Yes","3","5-10 Miles","Norte America","64","No"
"12100","Soltero","Masculino","60000","2","Bachelors","Management","Yes","0","10+ Miles","Norte America","57","No"
"12121","Soltero","Masculino","60000","3","High School","Professional","Yes","2","10+ Miles","Norte America","53","Yes"
"12133","Casado","Femenino","130000","3","Partial College","Professional","Yes","3","5-10 Miles","Europa","50","Yes"
"12153","Soltero","Femenino","70000","3","Partial College","Professional","Yes","1","5-10 Miles","Norte America","49","Yes"
"12192","Soltero","Femenino","60000","2","Partial High School","Skilled Manual","No","2","1-2 Miles","Norte America","51","No"
"12195","Soltero","Femenino","70000","3","Graduate Degree","Management","Yes","2","1-2 Miles","Norte America","52","No"
"12205","Soltero","Femenino","130000","2","Bachelors","Management","No","4","0-1 Miles","Norte America","67","No"
"12207","Soltero","Masculino","80000","4","Bachelors","Management","Yes","2","5-10 Miles","Norte America","66","Yes"
"12212","Casado","Femenino","10000","0","Graduate Degree","Manual","Yes","0","0-1 Miles","Europa","37","Yes"
"12231","Soltero","Femenino","10000","2","Partial College","Manual","Yes","0","0-1 Miles","Europa","51","Yes"
"12234","Casado","Masculino","10000","2","Partial College","Manual","Yes","1","2-5 Miles","Europa","52","No"
"12236","Casado","Femenino","20000","1","Partial College","Manual","Yes","0","0-1 Miles","Europa","65","No"
"12253","Soltero","Femenino","20000","0","Partial College","Manual","Yes","0","0-1 Miles","Pacifico","29","Yes"
"12273","Casado","Masculino","30000","1","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","47","No"
"12274","Soltero","Masculino","10000","2","High School","Manual","Yes","0","0-1 Miles","Europa","35","No"
"12284","Casado","Femenino","30000","0","Bachelors","Clerical","No","0","0-1 Miles","Europa","36","Yes"
"12291","Soltero","Masculino","90000","5","Partial College","Professional","No","2","2-5 Miles","Europa","62","Yes"
"12332","Casado","Masculino","90000","4","High School","Management","Yes","3","5-10 Miles","Europa","58","Yes"
"12344","Soltero","Femenino","80000","0","Bachelors","Professional","No","3","10+ Miles","Pacifico","31","No"
"12389","Soltero","Masculino","30000","0","High School","Manual","No","1","2-5 Miles","Europa","34","No"
"12452","Casado","Masculino","60000","4","Graduate Degree","Skilled Manual","Yes","0","1-2 Miles","Norte America","47","Yes"
"12472","Casado","Masculino","30000","1","Bachelors","Clerical","Yes","1","2-5 Miles","Europa","39","No"
"12496","Casado","Femenino","40000","1","Bachelors","Skilled Manual","Yes","0","0-1 Miles","Europa","42","No"
"12497","Casado","Femenino","40000","1","Bachelors","Skilled Manual","Yes","0","0-1 Miles","Europa","42","No"
"12503","Soltero","Femenino","30000","3","Partial College","Clerical","Yes","2","0-1 Miles","Europa","27","No"
"12507","Casado","Masculino","30000","1","Partial College","Clerical","Yes","1","0-1 Miles","Europa","43","No"
"12510","Casado","Masculino","40000","1","Bachelors","Skilled Manual","Yes","1","0-1 Miles","Europa","43","Yes"
"12558","Casado","Femenino","20000","1","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","65","No"
"12568","Casado","Femenino","30000","1","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","64","No"
"12581","Soltero","Femenino","10000","0","Partial College","Manual","No","1","0-1 Miles","Pacifico","28","Yes"
"12585","Casado","Masculino","10000","1","High School","Manual","Yes","0","2-5 Miles","Pacifico","27","Yes"
"12590","Soltero","Masculino","30000","1","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","63","No"
"12591","Casado","Femenino","30000","4","Graduate Degree","Clerical","Yes","0","0-1 Miles","Europa","45","No"
"12610","Casado","Femenino","30000","1","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","47","No"
"12629","Soltero","Masculino","20000","1","Partial College","Manual","No","0","0-1 Miles","Europa","37","No"
"12663","Casado","Femenino","90000","5","Partial High School","Skilled Manual","Yes","2","10+ Miles","Europa","59","No"
"12664","Casado","Femenino","130000","5","Partial College","Professional","Yes","4","0-1 Miles","Europa","59","No"
"12666","Soltero","Masculino","60000","0","Bachelors","Professional","No","4","2-5 Miles","Pacifico","31","No"
"12678","Soltero","Femenino","130000","4","High School","Management","Yes","4","0-1 Miles","Pacifico","31","No"
"12697","Soltero","Femenino","90000","0","Bachelors","Professional","No","4","10+ Miles","Pacifico","36","No"
"12705","Casado","Masculino","150000","0","Bachelors","Management","Yes","4","0-1 Miles","Pacifico","37","Yes"
"12716","Soltero","Masculino","30000","0","Partial College","Clerical","Yes","1","2-5 Miles","Europa","32","No"
"12718","Soltero","Femenino","30000","0","Partial College","Clerical","Yes","1","2-5 Miles","Europa","31","No"
"12728","Soltero","Masculino","30000","0","Partial College","Clerical","No","1","1-2 Miles","Europa","27","No"
"12731","Soltero","Masculino","30000","0","High School","Manual","No","1","1-2 Miles","Europa","32","No"
"12744","Soltero","Femenino","40000","2","Partial College","Clerical","Yes","0","0-1 Miles","Europa","33","No"
"12768","Casado","Masculino","30000","1","High School","Clerical","Yes","1","2-5 Miles","Norte America","52","Yes"
"12774","Casado","Femenino","40000","1","Partial College","Clerical","Yes","1","1-2 Miles","Norte America","51","Yes"
"12808","Casado","Masculino","40000","0","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","38","Yes"
"12821","Casado","Masculino","40000","0","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","39","No"
"12833","Soltero","Femenino","20000","3","High School","Manual","Yes","1","0-1 Miles","Europa","42","Yes"
"12871","Soltero","Femenino","30000","0","Partial College","Clerical","No","1","2-5 Miles","Europa","29","No"
"12882","Casado","Masculino","50000","1","Graduate Degree","Skilled Manual","Yes","0","0-1 Miles","Norte America","33","Yes"
"12922","Soltero","Femenino","60000","3","Bachelors","Skilled Manual","Yes","0","2-5 Miles","Norte America","40","Yes"
"12957","Soltero","Femenino","70000","1","Bachelors","Professional","No","1","0-1 Miles","Norte America","44","No"
"12964","Casado","Masculino","70000","1","Partial College","Skilled Manual","Yes","1","0-1 Miles","Norte America","44","No"
"12993","Casado","Masculino","60000","2","Bachelors","Professional","Yes","1","2-5 Miles","Pacifico","37","No"
"13066","Soltero","Masculino","30000","0","High School","Skilled Manual","No","2","1-2 Miles","Norte America","31","Yes"
"13073","Casado","Femenino","60000","0","Partial College","Professional","Yes","2","5-10 Miles","Norte America","30","No"
"13082","Soltero","Masculino","130000","0","Graduate Degree","Management","Yes","0","2-5 Miles","Pacifico","48","Yes"
"13089","Casado","Femenino","120000","1","Bachelors","Management","Yes","2","0-1 Miles","Pacifico","46","Yes"
"13122","Casado","Femenino","80000","0","Bachelors","Professional","Yes","1","1-2 Miles","Pacifico","41","Yes"
"13133","Soltero","Masculino","100000","5","Bachelors","Professional","Yes","1","5-10 Miles","Pacifico","47","Yes"
"13136","Casado","Femenino","30000","2","Partial College","Clerical","No","2","5-10 Miles","Pacifico","69","No"
"13151","Soltero","Masculino","40000","0","High School","Skilled Manual","Yes","2","5-10 Miles","Norte America","27","No"
"13154","Casado","Masculino","40000","0","High School","Skilled Manual","No","2","0-1 Miles","Norte America","27","Yes"
"13176","Soltero","Masculino","130000","0","Graduate Degree","Management","No","2","0-1 Miles","Norte America","38","Yes"
"13216","Casado","Femenino","60000","5","Bachelors","Management","Yes","3","10+ Miles","Norte America","59","No"
"13233","Casado","Masculino","60000","2","Partial College","Professional","Yes","1","10+ Miles","Norte America","57","Yes"
"13283","Casado","Masculino","80000","3","Partial College","Professional","No","2","0-1 Miles","Norte America","49","Yes"
"13287","Soltero","Masculino","110000","4","Bachelors","Management","Yes","4","5-10 Miles","Norte America","42","Yes"
"13296","Casado","Masculino","110000","1","Bachelors","Management","Yes","3","5-10 Miles","Norte America","45","No"
"13313","Casado","Femenino","120000","1","High School","Professional","No","4","2-5 Miles","Norte America","45","No"
"13314","Casado","Masculino","120000","1","High School","Professional","Yes","4","5-10 Miles","Norte America","46","Yes"
"13337","Casado","Femenino","80000","5","Bachelors","Management","Yes","2","5-10 Miles","Norte America","64","No"
"13343","Casado","Femenino","90000","5","Bachelors","Management","Yes","2","1-2 Miles","Norte America","63","Yes"
"13351","Soltero","Femenino","70000","4","Bachelors","Management","Yes","2","1-2 Miles","Norte America","62","Yes"
"13353","Soltero","Femenino","60000","4","Graduate Degree","Management","Yes","2","10+ Miles","Norte America","61","Yes"
"13382","Casado","Masculino","70000","5","Partial College","Professional","Yes","2","1-2 Miles","Norte America","57","Yes"
"13388","Soltero","Masculino","60000","2","Partial College","Professional","Yes","1","10+ Miles","Norte America","56","No"
"13390","Casado","Femenino","70000","4","Partial College","Professional","No","1","1-2 Miles","Norte America","56","No"
"13415","Soltero","Masculino","100000","1","Graduate Degree","Management","Yes","3","2-5 Miles","Norte America","73","Yes"
"13453","Casado","Femenino","130000","1","Bachelors","Management","Yes","3","0-1 Miles","Norte America","45","Yes"
"13466","Casado","Masculino","80000","5","Partial College","Professional","Yes","3","1-2 Miles","Norte America","46","No"
"13507","Casado","Femenino","10000","2","Partial College","Manual","Yes","0","1-2 Miles","Europa","50","No"
"13572","Soltero","Masculino","10000","3","High School","Manual","Yes","0","0-1 Miles","Europa","37","Yes"
"13585","Casado","Femenino","80000","4","Partial College","Professional","No","1","2-5 Miles","Europa","53","Yes"
"13586","Casado","Masculino","80000","4","Partial College","Professional","Yes","2","10+ Miles","Europa","53","No"
"13620","Soltero","Masculino","70000","0","Bachelors","Professional","No","3","10+ Miles","Pacifico","30","Yes"
"13662","Soltero","Masculino","20000","0","Partial High School","Manual","Yes","2","1-2 Miles","Europa","31","Yes"
"13673","Soltero","Femenino","20000","0","Partial High School","Manual","No","2","0-1 Miles","Europa","25","No"
"13683","Soltero","Femenino","30000","0","High School","Manual","No","1","2-5 Miles","Europa","32","No"
"13687","Casado","Masculino","40000","1","Bachelors","Skilled Manual","Yes","1","0-1 Miles","Europa","33","Yes"
"13690","Soltero","Femenino","20000","0","Partial High School","Manual","No","2","1-2 Miles","Europa","34","Yes"
"13714","Casado","Femenino","20000","2","High School","Manual","No","2","1-2 Miles","Norte America","53","Yes"
"13749","Casado","Masculino","80000","4","Graduate Degree","Skilled Manual","Yes","0","1-2 Miles","Norte America","47","No"
"13754","Soltero","Femenino","80000","4","Graduate Degree","Skilled Manual","Yes","0","1-2 Miles","Norte America","48","No"
"13760","Casado","Masculino","60000","4","Graduate Degree","Skilled Manual","No","0","0-1 Miles","Norte America","47","No"
"13813","Casado","Femenino","30000","3","Partial College","Clerical","No","0","0-1 Miles","Europa","42","No"
"13826","Soltero","Femenino","30000","0","Partial College","Clerical","No","1","0-1 Miles","Europa","28","No"
"13873","Casado","Masculino","70000","3","Graduate Degree","Professional","Yes","0","0-1 Miles","Norte America","35","Yes"
"13886","Casado","Femenino","70000","4","Graduate Degree","Professional","Yes","0","2-5 Miles","Norte America","35","Yes"
"13907","Soltero","Femenino","80000","3","Bachelors","Skilled Manual","Yes","1","0-1 Miles","Norte America","41","Yes"
"13911","Soltero","Femenino","80000","3","Bachelors","Skilled Manual","Yes","2","2-5 Miles","Norte America","41","Yes"
"13920","Soltero","Femenino","50000","4","Bachelors","Skilled Manual","Yes","2","0-1 Miles","Norte America","42","No"
"13934","Casado","Masculino","40000","4","High School","Skilled Manual","Yes","2","2-5 Miles","Norte America","46","No"
"13942","Casado","Masculino","60000","1","Partial College","Skilled Manual","Yes","1","0-1 Miles","Norte America","46","No"
"13961","Casado","Femenino","80000","5","Graduate Degree","Management","Yes","3","0-1 Miles","Pacifico","40","No"
"13981","Casado","Femenino","10000","5","High School","Skilled Manual","No","3","1-2 Miles","Pacifico","62","No"
"14032","Casado","Masculino","70000","2","High School","Skilled Manual","No","2","1-2 Miles","Pacifico","50","Yes"
"14058","Soltero","Masculino","70000","0","Bachelors","Professional","No","1","5-10 Miles","Pacifico","41","Yes"
"14063","Soltero","Femenino","70000","0","Bachelors","Professional","No","1","0-1 Miles","Pacifico","42","Yes"
"14077","Soltero","Masculino","30000","0","High School","Skilled Manual","Yes","2","5-10 Miles","Norte America","30","No"
"14090","Casado","Femenino","30000","0","Partial High School","Clerical","No","2","0-1 Miles","Norte America","28","No"
"14092","Soltero","Masculino","30000","0","Partial High School","Clerical","Yes","2","5-10 Miles","Norte America","28","No"
"14135","Casado","Masculino","20000","1","Partial College","Manual","Yes","0","1-2 Miles","Europa","63","No"
"14154","Casado","Masculino","30000","0","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","35","Yes"
"14164","Soltero","Femenino","50000","0","Graduate Degree","Skilled Manual","Yes","0","0-1 Miles","Europa","36","Yes"
"14177","Casado","Masculino","80000","5","Partial College","Professional","No","2","2-5 Miles","Europa","60","No"
"14189","Casado","Femenino","90000","4","High School","Professional","No","2","2-5 Miles","Europa","54","Yes"
"14191","Casado","Masculino","160000","4","Partial College","Professional","No","2","10+ Miles","Europa","55","Yes"
"14192","Casado","Masculino","90000","4","High School","Management","Yes","3","5-10 Miles","Europa","56","Yes"
"14193","Soltero","Femenino","100000","3","Partial College","Management","Yes","4","10+ Miles","Europa","56","No"
"14233","Soltero","Masculino","100000","0","High School","Management","Yes","3","10+ Miles","Pacifico","35","No"
"14238","Casado","Masculino","120000","0","Partial High School","Professional","Yes","4","10+ Miles","Pacifico","36","Yes"
"14271","Casado","Masculino","30000","0","High School","Skilled Manual","Yes","2","5-10 Miles","Norte America","32","No"
"14278","Casado","Femenino","130000","0","Graduate Degree","Management","Yes","1","10+ Miles","Pacifico","48","No"
"14284","Soltero","Masculino","60000","0","Partial College","Professional","No","2","1-2 Miles","Norte America","32","Yes"
"14312","Casado","Femenino","60000","1","Partial College","Skilled Manual","Yes","1","5-10 Miles","Pacifico","45","No"
"14332","Soltero","Femenino","30000","0","High School","Skilled Manual","No","2","5-10 Miles","Norte America","26","No"
"14347","Soltero","Femenino","40000","2","Bachelors","Management","Yes","2","5-10 Miles","Pacifico","65","Yes"
"14389","Casado","Masculino","60000","2","Bachelors","Management","Yes","0","2-5 Miles","Norte America","59","No"
"14417","Soltero","Masculino","60000","3","High School","Professional","Yes","2","10+ Miles","Norte America","54","Yes"
"14432","Soltero","Masculino","90000","4","Graduate Degree","Management","Yes","1","5-10 Miles","Norte America","73","No"
"14443","Casado","Masculino","130000","1","Graduate Degree","Management","Yes","4","0-1 Miles","Norte America","40","No"
"14469","Casado","Femenino","100000","3","Partial College","Professional","Yes","4","1-2 Miles","Norte America","45","No"
"14493","Soltero","Femenino","70000","3","Graduate Degree","Management","No","2","1-2 Miles","Norte America","53","No"
"14495","Casado","Masculino","40000","3","Partial College","Professional","No","2","5-10 Miles","Norte America","54","Yes"
"14507","Casado","Masculino","100000","2","Graduate Degree","Management","Yes","3","1-2 Miles","Norte America","65","No"
"14514","Soltero","Femenino","30000","0","Partial College","Skilled Manual","Yes","1","5-10 Miles","Norte America","26","No"
"14517","Casado","Femenino","20000","3","High School","Skilled Manual","No","2","1-2 Miles","Pacifico","62","No"
"14544","Soltero","Masculino","10000","1","Partial College","Manual","Yes","0","0-1 Miles","Europa","49","No"
"14545","Casado","Femenino","10000","2","Partial College","Manual","Yes","0","1-2 Miles","Europa","49","No"
"14547","Casado","Masculino","10000","2","Partial College","Manual","Yes","0","1-2 Miles","Europa","51","No"
"14554","Casado","Masculino","20000","1","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","66","No"
"14569","Casado","Masculino","60000","1","Graduate Degree","Professional","Yes","0","0-1 Miles","Norte America","35","No"
"14572","Casado","Femenino","70000","3","Graduate Degree","Professional","Yes","0","2-5 Miles","Norte America","35","Yes"
"14592","Casado","Femenino","60000","0","Graduate Degree","Professional","Yes","0","0-1 Miles","Norte America","40","No"
"14602","Casado","Femenino","80000","3","Graduate Degree","Professional","Yes","0","0-1 Miles","Norte America","36","Yes"
"14608","Casado","Masculino","50000","4","Bachelors","Skilled Manual","Yes","3","10+ Miles","Norte America","42","No"
"14633","Casado","Masculino","60000","1","Partial College","Skilled Manual","Yes","1","2-5 Miles","Norte America","44","No"
"14657","Casado","Masculino","80000","1","Partial College","Skilled Manual","No","1","0-1 Miles","Norte America","47","Yes"
"14662","Casado","Masculino","60000","1","Bachelors","Professional","Yes","1","0-1 Miles","Norte America","48","Yes"
"14669","Casado","Femenino","80000","4","Graduate Degree","Management","Yes","1","0-1 Miles","Pacifico","36","No"
"14682","Soltero","Femenino","70000","0","Bachelors","Professional","No","1","5-10 Miles","Pacifico","38","No"
"14696","Soltero","Masculino","10000","0","Partial High School","Manual","No","2","0-1 Miles","Europa","34","No"
"14754","Casado","Masculino","40000","1","Partial College","Clerical","Yes","1","1-2 Miles","Norte America","48","Yes"
"14777","Casado","Femenino","40000","0","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","38","Yes"
"14785","Soltero","Masculino","30000","1","Bachelors","Clerical","No","1","1-2 Miles","Europa","39","No"
"14791","Casado","Femenino","40000","0","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","39","Yes"
"14798","Soltero","Femenino","10000","4","Partial High School","Manual","Yes","2","0-1 Miles","Europa","41","Yes"
"14804","Soltero","Femenino","10000","3","Partial High School","Manual","Yes","2","0-1 Miles","Europa","43","No"
"14805","Soltero","Femenino","10000","3","Partial High School","Manual","Yes","2","0-1 Miles","Europa","43","No"
"14813","Soltero","Femenino","20000","4","High School","Manual","Yes","1","0-1 Miles","Europa","43","Yes"
"14832","Casado","Masculino","40000","1","Bachelors","Skilled Manual","Yes","0","0-1 Miles","Europa","42","Yes"
"14865","Soltero","Masculino","40000","2","Partial College","Clerical","Yes","2","1-2 Miles","Europa","36","No"
"14872","Casado","Masculino","30000","0","Graduate Degree","Skilled Manual","Yes","0","0-1 Miles","Norte America","32","No"
"14883","Casado","Femenino","30000","1","Bachelors","Skilled Manual","Yes","1","5-10 Miles","Norte America","53","Yes"
"14887","Casado","Femenino","30000","1","High School","Clerical","Yes","1","5-10 Miles","Norte America","52","No"
"14900","Casado","Femenino","40000","1","Partial College","Clerical","Yes","1","1-2 Miles","Norte America","49","Yes"
"14913","Casado","Femenino","40000","1","Partial College","Clerical","Yes","1","1-2 Miles","Norte America","48","Yes"
"14914","Casado","Femenino","40000","1","Partial College","Clerical","Yes","1","1-2 Miles","Norte America","49","Yes"
"14926","Casado","Masculino","30000","1","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","38","Yes"
"14927","Casado","Femenino","30000","1","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","37","Yes"
"14939","Casado","Masculino","40000","0","Bachelors","Clerical","Yes","0","0-1 Miles","Europa","39","Yes"
"15019","Soltero","Femenino","30000","3","High School","Skilled Manual","Yes","2","5-10 Miles","Pacifico","55","No"
"15030","Casado","Masculino","20000","0","Bachelors","Clerical","Yes","0","0-1 Miles","Pacifico","26","Yes"
"15194","Soltero","Masculino","120000","2","Bachelors","Management","No","3","0-1 Miles","Norte America","39","Yes"
"15214","Soltero","Femenino","100000","0","Graduate Degree","Management","No","1","1-2 Miles","Pacifico","39","Yes"
"15255","Casado","Masculino","40000","0","High School","Skilled Manual","Yes","2","5-10 Miles","Norte America","28","Yes"
"15265","Soltero","Masculino","40000","2","Bachelors","Management","Yes","2","5-10 Miles","Pacifico","66","Yes"
"15272","Soltero","Masculino","40000","0","High School","Skilled Manual","No","2","1-2 Miles","Norte America","30","No"
"15275","Casado","Masculino","40000","0","Partial College","Skilled Manual","Yes","1","5-10 Miles","Norte America","29","No"
"15287","Soltero","Femenino","50000","1","Graduate Degree","Skilled Manual","Yes","0","1-2 Miles","Norte America","33","Yes"
"15292","Soltero","Femenino","60000","1","Graduate Degree","Skilled Manual","Yes","0","1-2 Miles","Norte America","35","No"
"15302","Soltero","Femenino","70000","1","Graduate Degree","Professional","Yes","0","2-5 Miles","Norte America","34","Yes"
"15313","Casado","Masculino","60000","4","Bachelors","Management","Yes","2","2-5 Miles","Norte America","59","No"
"15319","Casado","Femenino","70000","4","Bachelors","Management","No","1","1-2 Miles","Norte America","59","No"
"15372","Casado","Masculino","80000","3","Partial College","Professional","No","2","2-5 Miles","Norte America","50","Yes"
"15382","Casado","Femenino","110000","1","Bachelors","Management","Yes","2","1-2 Miles","Norte America","44","No"
"15412","Casado","Masculino","130000","2","Graduate Degree","Management","Yes","3","2-5 Miles","Norte America","69","No"
"15450","Casado","Masculino","10000","1","Graduate Degree","Clerical","Yes","0","0-1 Miles","Europa","70","No"
"15465","Casado","Femenino","10000","0","Partial College","Manual","No","1","0-1 Miles","Pacifico","25","No"
"15468","Casado","Femenino","50000","1","Bachelors","Skilled Manual","Yes","1","0-1 Miles","Norte America","35","No"
