Nombre,Plataforma,Editorial,Genero,Año,Region,Ventas
Reactor,2600,Parker Bros.,Action,1981,Japon,0
Reactor,2600,Parker Bros.,Action,1981,NorteAmerica,0.21
Reactor,2600,Parker Bros.,Action,1981,Otros,0
Spider-Man,2600,Parker Bros.,Action,1981,Europa,0.05
Spider-Man,2600,Parker Bros.,Action,1981,Japon,0
Spider-Man,2600,Parker Bros.,Action,1981,NorteAmerica,0.87
Spider-Man,2600,Parker Bros.,Action,1981,Otros,0.01
Fireball,2600,Starpath Corp.,Action,1981,Europa,0.02
Fireball,2600,Starpath Corp.,Action,1981,Japon,0
Fireball,2600,Starpath Corp.,Action,1981,NorteAmerica,0.3
Fireball,2600,Starpath Corp.,Action,1981,Otros,0
Front Line,2600,Taito,Action,1981,Europa,0.01
Front Line,2600,Taito,Action,1981,Japon,0
Front Line,2600,Taito,Action,1981,NorteAmerica,0.22
Front Line,2600,Taito,Action,1981,Otros,0
Jawbreaker,2600,Tigervision,Action,1981,Europa,0.03
Jawbreaker,2600,Tigervision,Action,1981,Japon,0
Jawbreaker,2600,Tigervision,Action,1981,NorteAmerica,0.42
Jawbreaker,2600,Tigervision,Action,1981,Otros,0
King Kong,2600,Tigervision,Action,1981,Europa,0.04
King Kong,2600,Tigervision,Action,1981,Japon,0
King Kong,2600,Tigervision,Action,1981,NorteAmerica,0.65
King Kong,2600,Tigervision,Action,1981,Otros,0.01
Fast Food,2600,Unknown,Action,1981,Europa,0.02
Fast Food,2600,Unknown,Action,1981,Japon,0
Fast Food,2600,Unknown,Action,1981,NorteAmerica,0.27
Fast Food,2600,Unknown,Action,1981,Otros,0
Bank Heist,2600,20th Century Fox Video Games,Action,1982,Europa,0.02
Bank Heist,2600,20th Century Fox Video Games,Action,1982,Japon,0
Bank Heist,2600,20th Century Fox Video Games,Action,1982,NorteAmerica,0.32
Bank Heist,2600,20th Century Fox Video Games,Action,1982,Otros,0
Porky's,2600,20th Century Fox Video Games,Action,1982,Europa,0.01
Porky's,2600,20th Century Fox Video Games,Action,1982,Japon,0
Porky's,2600,20th Century Fox Video Games,Action,1982,NorteAmerica,0.23
Porky's,2600,20th Century Fox Video Games,Action,1982,Otros,0
Keystone Kapers,2600,Activision,Action,1982,Europa,0.04
Keystone Kapers,2600,Activision,Action,1982,Japon,0
Keystone Kapers,2600,Activision,Action,1982,NorteAmerica,0.62
Keystone Kapers,2600,Activision,Action,1982,Otros,0.01
Pressure Cooker,2600,Activision,Action,1982,Europa,0.01
Pressure Cooker,2600,Activision,Action,1982,Japon,0
Pressure Cooker,2600,Activision,Action,1982,NorteAmerica,0.14
Pressure Cooker,2600,Activision,Action,1982,Otros,0
Chopper Command,2600,Activision,Shooter,1982,Europa,0.03
Chopper Command,2600,Activision,Shooter,1982,Japon,0
Chopper Command,2600,Activision,Shooter,1982,NorteAmerica,0.47
Chopper Command,2600,Activision,Shooter,1982,Otros,0.01
The Activision Decathlon,2600,Activision,Sports,1982,Europa,0.03
The Activision Decathlon,2600,Activision,Sports,1982,Japon,0
The Activision Decathlon,2600,Activision,Sports,1982,NorteAmerica,0.52
The Activision Decathlon,2600,Activision,Sports,1982,Otros,0.01
Gauntlet,2600,Answer Software,Action,1982,Europa,0.03
Gauntlet,2600,Answer Software,Action,1982,Japon,0
Gauntlet,2600,Answer Software,Action,1982,NorteAmerica,0.46
Gauntlet,2600,Answer Software,Action,1982,Otros,0.01
Gravitar,2600,Atari,Action,1982,Europa,0.02
Gravitar,2600,Atari,Action,1982,Japon,0
Gravitar,2600,Atari,Action,1982,NorteAmerica,0.35
Gravitar,2600,Atari,Action,1982,Otros,0
Krull,2600,Atari,Action,1982,Europa,0.01
Krull,2600,Atari,Action,1982,Japon,0
Krull,2600,Atari,Action,1982,NorteAmerica,0.13
Krull,2600,Atari,Action,1982,Otros,0
Joust,2600,Atari,Platform,1982,Europa,0.06
Joust,2600,Atari,Platform,1982,Japon,0
Joust,2600,Atari,Platform,1982,NorteAmerica,1.01
Joust,2600,Atari,Platform,1982,Otros,0.01
Jungle Hunt,2600,Atari,Platform,1982,Europa,0.06
Jungle Hunt,2600,Atari,Platform,1982,Japon,0
Jungle Hunt,2600,Atari,Platform,1982,NorteAmerica,1.03
Jungle Hunt,2600,Atari,Platform,1982,Otros,0.01
Kangaroo,2600,Atari,Platform,1982,Europa,0.04
Kangaroo,2600,Atari,Platform,1982,Japon,0
Kangaroo,2600,Atari,Platform,1982,NorteAmerica,0.67
Kangaroo,2600,Atari,Platform,1982,Otros,0.01
Mario Bros.,2600,Atari,Platform,1982,Europa,0.09
Mario Bros.,2600,Atari,Platform,1982,Japon,0
Mario Bros.,2600,Atari,Platform,1982,NorteAmerica,1.48
Mario Bros.,2600,Atari,Platform,1982,Otros,0.02
Dig Dug,2600,Atari,Puzzle,1982,Europa,0.1
Dig Dug,2600,Atari,Puzzle,1982,Japon,0
Dig Dug,2600,Atari,Puzzle,1982,NorteAmerica,1.52
Dig Dug,2600,Atari,Puzzle,1982,Otros,0.02
Pac-Man,2600,Atari,Puzzle,1982,Europa,0.45
Pac-Man,2600,Atari,Puzzle,1982,Japon,0
Pac-Man,2600,Atari,Puzzle,1982,NorteAmerica,7.28
Pac-Man,2600,Atari,Puzzle,1982,Otros,0.08
Pole Position,2600,Atari,Racing,1982,Europa,0.07
Pole Position,2600,Atari,Racing,1982,Japon,0
Pole Position,2600,Atari,Racing,1982,NorteAmerica,1.1
Pole Position,2600,Atari,Racing,1982,Otros,0.01
Battlezone,2600,Atari,Shooter,1982,Europa,0.03
Battlezone,2600,Atari,Shooter,1982,Japon,0
Battlezone,2600,Atari,Shooter,1982,NorteAmerica,0.58
Battlezone,2600,Atari,Shooter,1982,Otros,0.01
Galaxian,2600,Atari,Shooter,1982,Europa,0.05
Galaxian,2600,Atari,Shooter,1982,Japon,0
Galaxian,2600,Atari,Shooter,1982,NorteAmerica,0.72
Galaxian,2600,Atari,Shooter,1982,Otros,0.01
Moon Patrol,2600,Atari,Shooter,1982,Europa,0.06
Moon Patrol,2600,Atari,Shooter,1982,Japon,0
Moon Patrol,2600,Atari,Shooter,1982,NorteAmerica,1.05
Moon Patrol,2600,Atari,Shooter,1982,Otros,0.01
Yars' Revenge,2600,Atari,Shooter,1982,Europa,0.04
Yars' Revenge,2600,Atari,Shooter,1982,Japon,0
Yars' Revenge,2600,Atari,Shooter,1982,NorteAmerica,0.73
Yars' Revenge,2600,Atari,Shooter,1982,Otros,0.01
RealSports Tennis,2600,Atari,Sports,1982,Europa,0.03
RealSports Tennis,2600,Atari,Sports,1982,Japon,0
RealSports Tennis,2600,Atari,Sports,1982,NorteAmerica,0.46
RealSports Tennis,2600,Atari,Sports,1982,Otros,0.01
Death Trap,2600,Avalon Interactive,Action,1982,Europa,0.01
Death Trap,2600,Avalon Interactive,Action,1982,Japon,0
Death Trap,2600,Avalon Interactive,Action,1982,NorteAmerica,0.15
Death Trap,2600,Avalon Interactive,Action,1982,Otros,0
Assault,2600,Bomb,Action,1982,Europa,0.01
Assault,2600,Bomb,Action,1982,Japon,0
Assault,2600,Bomb,Action,1982,NorteAmerica,0.21
Assault,2600,Bomb,Action,1982,Otros,0
Mountain King,2600,CBS Electronics,Action,1982,Europa,0.02
Mountain King,2600,CBS Electronics,Action,1982,Japon,0
Mountain King,2600,CBS Electronics,Action,1982,NorteAmerica,0.29
Mountain King,2600,CBS Electronics,Action,1982,Otros,0
Mr. Do!,2600,Coleco,Action,1982,Europa,0.02
Mr. Do!,2600,Coleco,Action,1982,Japon,0
Mr. Do!,2600,Coleco,Action,1982,NorteAmerica,0.26
Mr. Do!,2600,Coleco,Action,1982,Otros,0
Action Force,2600,CPG Products,Action,1982,Europa,0.03
Action Force,2600,CPG Products,Action,1982,Japon,0
Action Force,2600,CPG Products,Action,1982,NorteAmerica,0.5
Action Force,2600,CPG Products,Action,1982,Otros,0.01
Frankenstein's Monster,2600,Data Age,Action,1982,Europa,0.02
Frankenstein's Monster,2600,Data Age,Action,1982,Japon,0
Frankenstein's Monster,2600,Data Age,Action,1982,NorteAmerica,0.3
Frankenstein's Monster,2600,Data Age,Action,1982,Otros,0
Alien's Return,2600,ITT Family Games,Action,1982,Europa,0.02
Alien's Return,2600,ITT Family Games,Action,1982,Japon,0
Alien's Return,2600,ITT Family Games,Action,1982,NorteAmerica,0.32
Alien's Return,2600,ITT Family Games,Action,1982,Otros,0
Bump 'n' Jump,2600,Mattel Interactive,Racing,1982,Europa,0.02
Bump 'n' Jump,2600,Mattel Interactive,Racing,1982,Japon,0
Bump 'n' Jump,2600,Mattel Interactive,Racing,1982,NorteAmerica,0.37
Bump 'n' Jump,2600,Mattel Interactive,Racing,1982,Otros,0
Popeye,2600,Parker Bros.,Platform,1982,Europa,0.03
Popeye,2600,Parker Bros.,Platform,1982,Japon,0
Popeye,2600,Parker Bros.,Platform,1982,NorteAmerica,0.5
Popeye,2600,Parker Bros.,Platform,1982,Otros,0.01
Q*bert,2600,Parker Bros.,Puzzle,1982,Europa,0.03
Q*bert,2600,Parker Bros.,Puzzle,1982,Japon,0
Q*bert,2600,Parker Bros.,Puzzle,1982,NorteAmerica,0.55
Q*bert,2600,Parker Bros.,Puzzle,1982,Otros,0.01
Enduro,2600,Quelle,Misc,1982,Europa,0.05
Enduro,2600,Quelle,Misc,1982,Japon,0
Enduro,2600,Quelle,Misc,1982,NorteAmerica,0.81
Enduro,2600,Quelle,Misc,1982,Otros,0.01
Congo Bongo,2600,Sega,Action,1982,Europa,0.02
Congo Bongo,2600,Sega,Action,1982,Japon,0
Congo Bongo,2600,Sega,Action,1982,NorteAmerica,0.37
Congo Bongo,2600,Sega,Action,1982,Otros,0
Polaris,2600,Tigervision,Action,1982,Europa,0.02
Polaris,2600,Tigervision,Action,1982,Japon,0
Polaris,2600,Tigervision,Action,1982,NorteAmerica,0.26
Polaris,2600,Tigervision,Action,1982,Otros,0
X-Man,2600,Universal Gamex,Action,1982,Europa,0.04
X-Man,2600,Universal Gamex,Action,1982,Japon,0
X-Man,2600,Universal Gamex,Action,1982,NorteAmerica,0.58
X-Man,2600,Universal Gamex,Action,1982,Otros,0.01
Halloween,2600,Wizard Video Games,Action,1982,Europa,0.03
Halloween,2600,Wizard Video Games,Action,1982,Japon,0
Halloween,2600,Wizard Video Games,Action,1982,NorteAmerica,0.58
Halloween,2600,Wizard Video Games,Action,1982,Otros,0.01
Dolphin,2600,Activision,Action,1983,Europa,0.02
Dolphin,2600,Activision,Action,1983,Japon,0
Dolphin,2600,Activision,Action,1983,NorteAmerica,0.27
Dolphin,2600,Activision,Action,1983,Otros,0
Frostbite,2600,Activision,Action,1983,Europa,0.02
Frostbite,2600,Activision,Action,1983,Japon,0
Frostbite,2600,Activision,Action,1983,NorteAmerica,0.32
Frostbite,2600,Activision,Action,1983,Otros,0
Pitfall II: Lost Caverns,2600,Activision,Platform,1983,Europa,0.07
Pitfall II: Lost Caverns,2600,Activision,Platform,1983,Japon,0
Pitfall II: Lost Caverns,2600,Activision,Platform,1983,NorteAmerica,1.22
Pitfall II: Lost Caverns,2600,Activision,Platform,1983,Otros,0.02
Crystal Castles,2600,Atari,Action,1983,Europa,0.04
Crystal Castles,2600,Atari,Action,1983,Japon,0
Crystal Castles,2600,Atari,Action,1983,NorteAmerica,0.72
Crystal Castles,2600,Atari,Action,1983,Otros,0.01
Gremlins,2600,Atari,Action,1983,Europa,0.03
Gremlins,2600,Atari,Action,1983,Japon,0
Gremlins,2600,Atari,Action,1983,NorteAmerica,0.43
Gremlins,2600,Atari,Action,1983,Otros,0
Midnight Magic,2600,Atari,Action,1983,Europa,0.03
Midnight Magic,2600,Atari,Action,1983,Japon,0
Midnight Magic,2600,Atari,Action,1983,NorteAmerica,0.47
Midnight Magic,2600,Atari,Action,1983,Otros,0.01
Pengo,2600,Atari,Adventure,1983,Europa,0.02
Pengo,2600,Atari,Adventure,1983,Japon,0
Pengo,2600,Atari,Adventure,1983,NorteAmerica,0.38
Pengo,2600,Atari,Adventure,1983,Otros,0
Jr. Pac-Man,2600,Atari,Puzzle,1983,Europa,0.05
Jr. Pac-Man,2600,Atari,Puzzle,1983,Japon,0
Jr. Pac-Man,2600,Atari,Puzzle,1983,NorteAmerica,0.72
Jr. Pac-Man,2600,Atari,Puzzle,1983,Otros,0.01
Millipede,2600,Atari,Shooter,1983,Europa,0.03
Millipede,2600,Atari,Shooter,1983,Japon,0
Millipede,2600,Atari,Shooter,1983,NorteAmerica,0.45
Millipede,2600,Atari,Shooter,1983,Otros,0.01
Mahjong,NES,Nintendo,Misc,1983,Europa,0
Mahjong,NES,Nintendo,Misc,1983,Japon,2.13
Mahjong,NES,Nintendo,Misc,1983,NorteAmerica,0.01
Mahjong,NES,Nintendo,Misc,1983,Otros,0
Donkey Kong,NES,Nintendo,Platform,1983,Europa,0.05
Donkey Kong,NES,Nintendo,Platform,1983,Japon,0.84
Donkey Kong,NES,Nintendo,Platform,1983,NorteAmerica,0.23
Donkey Kong,NES,Nintendo,Platform,1983,Otros,0.01
Donkey Kong Jr.,NES,Nintendo,Platform,1983,Europa,0.07
Donkey Kong Jr.,NES,Nintendo,Platform,1983,Japon,0.7
Donkey Kong Jr.,NES,Nintendo,Platform,1983,NorteAmerica,0.33
Donkey Kong Jr.,NES,Nintendo,Platform,1983,Otros,0.01
Mario Bros.,NES,Nintendo,Platform,1983,Europa,0.12
Mario Bros.,NES,Nintendo,Platform,1983,Japon,1.63
Mario Bros.,NES,Nintendo,Platform,1983,NorteAmerica,0.51
Mario Bros.,NES,Nintendo,Platform,1983,Otros,0.02
Popeye,NES,Nintendo,Platform,1983,Europa,0.12
Popeye,NES,Nintendo,Platform,1983,Japon,0.45
Popeye,NES,Nintendo,Platform,1983,NorteAmerica,0.51
Popeye,NES,Nintendo,Platform,1983,Otros,0.02
Baseball,NES,Nintendo,Sports,1983,Europa,0.1
Baseball,NES,Nintendo,Sports,1983,Japon,2.35
Baseball,NES,Nintendo,Sports,1983,NorteAmerica,0.73
Baseball,NES,Nintendo,Sports,1983,Otros,0.02
Frogger II: Threeedeep!,2600,Parker Bros.,Action,1983,Europa,0.02
Frogger II: Threeedeep!,2600,Parker Bros.,Action,1983,Japon,0
Frogger II: Threeedeep!,2600,Parker Bros.,Action,1983,NorteAmerica,0.31
Frogger II: Threeedeep!,2600,Parker Bros.,Action,1983,Otros,0
Mr. Do!'s Castle,2600,Parker Bros.,Action,1983,Europa,0.01
Mr. Do!'s Castle,2600,Parker Bros.,Action,1983,Japon,0
Mr. Do!'s Castle,2600,Parker Bros.,Action,1983,NorteAmerica,0.15
Mr. Do!'s Castle,2600,Parker Bros.,Action,1983,Otros,0
Beamrider,2600,Activision,Racing,1984,Europa,0.01
Beamrider,2600,Activision,Racing,1984,Japon,0
Beamrider,2600,Activision,Racing,1984,NorteAmerica,0.26
Beamrider,2600,Activision,Racing,1984,Otros,0
Lode Runner,NES,Hudson Soft,Puzzle,1984,Europa,0
Lode Runner,NES,Hudson Soft,Puzzle,1984,Japon,1.1
Lode Runner,NES,Hudson Soft,Puzzle,1984,NorteAmerica,0
Lode Runner,NES,Hudson Soft,Puzzle,1984,Otros,0
Mappy,NES,Namco Bandai Games,Platform,1984,Europa,0
Mappy,NES,Namco Bandai Games,Platform,1984,Japon,0.69
Mappy,NES,Namco Bandai Games,Platform,1984,NorteAmerica,0
Mappy,NES,Namco Bandai Games,Platform,1984,Otros,0
Pac-Man,NES,Namco Bandai Games,Puzzle,1984,Europa,0.08
Pac-Man,NES,Namco Bandai Games,Puzzle,1984,Japon,0.85
Pac-Man,NES,Namco Bandai Games,Puzzle,1984,NorteAmerica,0.27
